景点名称,经纬度,拥堵等级,平均车速(km/h),路况描述,查询时间,查询状态
杨家坪,"106.5800,29.5400",缓行,25.0,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",畅通,42.3,道路畅通，车速正常,2026-04-21 00:00:00,成功
朝天门,"106.5740,29.5630",缓行,21.1,车流量较大，行驶缓慢,2026-04-14 00:00:00,成功
杨家坪,"106.5760,29.5660",缓行,25.4,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
南坪,"106.5740,29.5630",缓行,24.0,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
朝天门,"106.5740,29.5630",畅通,48.0,道路畅通，车速正常,2026-04-14 00:00:00,成功
磁器口,"106.5725,29.5601",畅通,43.3,道路畅通，车速正常,2026-04-17 00:00:00,成功
南坪,"106.5600,29.5500",缓行,27.5,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
长江大桥,"106.5725,29.5601",畅通,47.4,道路畅通，车速正常,2026-04-02 00:00:00,成功
杨家坪,"106.5600,29.5500",缓行,24.8,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
李子坝,"106.5760,29.5660",畅通,35.4,道路畅通，车速正常,2026-04-13 00:00:00,成功
长江大桥,"106.5740,29.5630",畅通,48.8,道路畅通，车速正常,2026-04-14 00:00:00,成功
鹅岭,"106.5740,29.5630",畅通,49.7,道路畅通，车速正常,2026-04-13 00:00:00,成功
朝天门,"106.5740,29.5630",畅通,30.3,道路畅通，车速正常,2026-04-14 00:00:00,成功
观音桥,"106.5800,29.5400",畅通,51.3,道路畅通，车速正常,2026-04-13 00:00:00,成功
杨家坪,"106.5725,29.5601",畅通,34.0,道路畅通，车速正常,2026-04-24 00:00:00,成功
观音桥,"106.5800,29.5400",缓行,29.0,车流量较大，行驶缓慢,2026-04-01 00:00:00,成功
观音桥,"106.5760,29.5660",畅通,31.1,道路畅通，车速正常,2026-04-30 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,19.7,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,36.0,道路畅通，车速正常,2026-04-26 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,42.4,道路畅通，车速正常,2026-04-16 00:00:00,成功
洪崖洞,"106.5800,29.5400",畅通,48.1,道路畅通，车速正常,2026-04-21 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",畅通,45.0,道路畅通，车速正常,2026-04-23 00:00:00,成功
李子坝,"106.5550,29.5820",畅通,33.3,道路畅通，车速正常,2026-04-29 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,32.0,道路畅通，车速正常,2026-04-18 00:00:00,成功
解放碑,"106.5740,29.5630",畅通,50.9,道路畅通，车速正常,2026-04-22 00:00:00,成功
洪崖洞,"106.5740,29.5630",缓行,27.3,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
李子坝,"106.5760,29.5660",畅通,46.5,道路畅通，车速正常,2026-04-14 00:00:00,成功
洪崖洞,"106.5600,29.5500",畅通,35.1,道路畅通，车速正常,2026-04-12 00:00:00,成功
鹅岭,"106.5740,29.5630",缓行,17.1,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
朝天门,"106.5550,29.5820",缓行,29.2,车流量较大，行驶缓慢,2026-04-07 00:00:00,成功
南坪,"106.5760,29.5660",畅通,31.4,道路畅通，车速正常,2026-04-24 00:00:00,成功
长江大桥,"106.5725,29.5601",缓行,23.5,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
李子坝,"106.5550,29.5820",畅通,31.8,道路畅通，车速正常,2026-04-04 00:00:00,成功
解放碑,"106.5725,29.5601",缓行,22.2,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
南坪,"106.5800,29.5400",畅通,40.4,道路畅通，车速正常,2026-04-30 00:00:00,成功
长江大桥,"106.5740,29.5630",畅通,43.6,道路畅通，车速正常,2026-04-27 00:00:00,成功
李子坝,"106.5760,29.5660",畅通,30.3,道路畅通，车速正常,2026-04-02 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,26.8,车流量较大，行驶缓慢,2026-04-01 00:00:00,成功
李子坝,"106.5800,29.5400",缓行,28.0,车流量较大，行驶缓慢,2026-04-21 00:00:00,成功
朝天门,"106.5550,29.5820",缓行,29.3,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
鹅岭,"106.5600,29.5500",缓行,25.8,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
观音桥,"106.5740,29.5630",畅通,37.7,道路畅通，车速正常,2026-04-11 00:00:00,成功
嘉陵江大桥,"106.5550,29.5820",畅通,34.4,道路畅通，车速正常,2026-04-14 00:00:00,成功
南坪,"106.5725,29.5601",畅通,50.3,道路畅通，车速正常,2026-04-01 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,26.9,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
朝天门,"106.5760,29.5660",缓行,23.8,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
杨家坪,"106.5800,29.5400",畅通,39.2,道路畅通，车速正常,2026-04-18 00:00:00,成功
长江大桥,"106.5725,29.5601",畅通,31.7,道路畅通，车速正常,2026-04-10 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,16.7,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,43.0,道路畅通，车速正常,2026-04-08 00:00:00,成功
洪崖洞,"106.5740,29.5630",畅通,38.2,道路畅通，车速正常,2026-04-05 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,47.2,道路畅通，车速正常,2026-04-09 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,19.4,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
洪崖洞,"106.5600,29.5500",缓行,28.8,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
长江大桥,"106.5550,29.5820",缓行,29.4,车流量较大，行驶缓慢,2026-04-13 00:00:00,成功
李子坝,"106.5550,29.5820",缓行,23.0,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
杨家坪,"106.5800,29.5400",畅通,38.8,道路畅通，车速正常,2026-04-10 00:00:00,成功
南坪,"106.5725,29.5601",缓行,22.1,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
鹅岭,"106.5800,29.5400",畅通,43.5,道路畅通，车速正常,2026-04-16 00:00:00,成功
鹅岭,"106.5800,29.5400",畅通,32.8,道路畅通，车速正常,2026-04-30 00:00:00,成功
洪崖洞,"106.5725,29.5601",缓行,17.1,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
长江大桥,"106.5740,29.5630",缓行,27.3,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
磁器口,"106.5725,29.5601",缓行,22.8,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
杨家坪,"106.5760,29.5660",缓行,19.7,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
杨家坪,"106.5760,29.5660",畅通,34.1,道路畅通，车速正常,2026-04-09 00:00:00,成功
南山,"106.5800,29.5400",畅通,36.8,道路畅通，车速正常,2026-04-21 00:00:00,成功
磁器口,"106.5760,29.5660",畅通,38.9,道路畅通，车速正常,2026-04-18 00:00:00,成功
杨家坪,"106.5550,29.5820",缓行,21.2,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
南坪,"106.5550,29.5820",缓行,18.9,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
南山,"106.5740,29.5630",缓行,28.9,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
朝天门,"106.5550,29.5820",畅通,30.5,道路畅通，车速正常,2026-04-26 00:00:00,成功
南山,"106.5600,29.5500",缓行,27.3,车流量较大，行驶缓慢,2026-04-16 00:00:00,成功
长江大桥,"106.5740,29.5630",畅通,32.8,道路畅通，车速正常,2026-04-09 00:00:00,成功
磁器口,"106.5725,29.5601",畅通,39.1,道路畅通，车速正常,2026-04-24 00:00:00,成功
南坪,"106.5760,29.5660",畅通,34.2,道路畅通，车速正常,2026-04-26 00:00:00,成功
嘉陵江大桥,"106.5550,29.5820",畅通,53.7,道路畅通，车速正常,2026-04-28 00:00:00,成功
南坪,"106.5800,29.5400",缓行,23.8,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
嘉陵江大桥,"106.5800,29.5400",畅通,41.0,道路畅通，车速正常,2026-04-27 00:00:00,成功
南坪,"106.5740,29.5630",畅通,30.9,道路畅通，车速正常,2026-04-04 00:00:00,成功
李子坝,"106.5600,29.5500",畅通,32.4,道路畅通，车速正常,2026-04-09 00:00:00,成功
嘉陵江大桥,"106.5600,29.5500",缓行,18.8,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
南山,"106.5760,29.5660",缓行,26.2,车流量较大，行驶缓慢,2026-04-07 00:00:00,成功
杨家坪,"106.5600,29.5500",畅通,32.9,道路畅通，车速正常,2026-04-07 00:00:00,成功
南山,"106.5760,29.5660",缓行,17.5,车流量较大，行驶缓慢,2026-04-21 00:00:00,成功
杨家坪,"106.5800,29.5400",缓行,26.8,车流量较大，行驶缓慢,2026-04-02 00:00:00,成功
南坪,"106.5600,29.5500",畅通,34.3,道路畅通，车速正常,2026-04-21 00:00:00,成功
朝天门,"106.5550,29.5820",缓行,29.8,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
磁器口,"106.5600,29.5500",畅通,33.8,道路畅通，车速正常,2026-04-28 00:00:00,成功
解放碑,"106.5760,29.5660",畅通,49.9,道路畅通，车速正常,2026-04-27 00:00:00,成功
南坪,"106.5550,29.5820",畅通,34.1,道路畅通，车速正常,2026-04-14 00:00:00,成功
观音桥,"106.5725,29.5601",缓行,22.7,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",畅通,30.2,道路畅通，车速正常,2026-04-08 00:00:00,成功
南坪,"106.5600,29.5500",缓行,29.9,车流量较大，行驶缓慢,2026-04-08 00:00:00,成功
鹅岭,"106.5740,29.5630",缓行,28.1,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",缓行,26.5,车流量较大，行驶缓慢,2026-04-08 00:00:00,成功
李子坝,"106.5550,29.5820",缓行,25.3,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
长江大桥,"106.5800,29.5400",畅通,46.1,道路畅通，车速正常,2026-04-29 00:00:00,成功
南坪,"106.5740,29.5630",拥堵,12.2,严重拥堵，建议绕行,2026-04-19 00:00:00,成功
洪崖洞,"106.5760,29.5660",缓行,25.9,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
磁器口,"106.5725,29.5601",畅通,36.3,道路畅通，车速正常,2026-04-24 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,29.0,车流量较大，行驶缓慢,2026-04-16 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,46.4,道路畅通，车速正常,2026-04-16 00:00:00,成功
杨家坪,"106.5725,29.5601",缓行,29.2,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
南山,"106.5800,29.5400",畅通,30.6,道路畅通，车速正常,2026-04-20 00:00:00,成功
南山,"106.5550,29.5820",畅通,31.0,道路畅通，车速正常,2026-04-17 00:00:00,成功
鹅岭,"106.5600,29.5500",畅通,39.2,道路畅通，车速正常,2026-04-07 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,43.5,道路畅通，车速正常,2026-04-01 00:00:00,成功
朝天门,"106.5550,29.5820",缓行,22.9,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
杨家坪,"106.5740,29.5630",缓行,15.6,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,27.1,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
南坪,"106.5800,29.5400",缓行,25.7,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
磁器口,"106.5800,29.5400",缓行,15.4,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
鹅岭,"106.5550,29.5820",畅通,32.8,道路畅通，车速正常,2026-04-06 00:00:00,成功
洪崖洞,"106.5725,29.5601",畅通,32.4,道路畅通，车速正常,2026-04-14 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,27.2,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
解放碑,"106.5725,29.5601",畅通,30.3,道路畅通，车速正常,2026-04-23 00:00:00,成功
杨家坪,"106.5800,29.5400",畅通,51.4,道路畅通，车速正常,2026-04-20 00:00:00,成功
长江大桥,"106.5760,29.5660",畅通,31.2,道路畅通，车速正常,2026-04-30 00:00:00,成功
磁器口,"106.5550,29.5820",缓行,24.7,车流量较大，行驶缓慢,2026-04-27 00:00:00,成功
南山,"106.5740,29.5630",畅通,39.0,道路畅通，车速正常,2026-04-28 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",畅通,43.8,道路畅通，车速正常,2026-04-08 00:00:00,成功
杨家坪,"106.5800,29.5400",缓行,21.9,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,25.4,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
鹅岭,"106.5600,29.5500",畅通,36.1,道路畅通，车速正常,2026-04-19 00:00:00,成功
李子坝,"106.5725,29.5601",畅通,50.7,道路畅通，车速正常,2026-04-23 00:00:00,成功
南山,"106.5740,29.5630",缓行,27.9,车流量较大，行驶缓慢,2026-04-01 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",缓行,25.0,车流量较大，行驶缓慢,2026-04-07 00:00:00,成功
观音桥,"106.5725,29.5601",缓行,23.3,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
嘉陵江大桥,"106.5600,29.5500",畅通,41.6,道路畅通，车速正常,2026-04-14 00:00:00,成功
观音桥,"106.5800,29.5400",畅通,34.4,道路畅通，车速正常,2026-04-02 00:00:00,成功
长江大桥,"106.5800,29.5400",缓行,23.1,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
南坪,"106.5550,29.5820",缓行,25.2,车流量较大，行驶缓慢,2026-04-27 00:00:00,成功
洪崖洞,"106.5740,29.5630",畅通,53.8,道路畅通，车速正常,2026-04-20 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,36.5,道路畅通，车速正常,2026-04-29 00:00:00,成功
南坪,"106.5600,29.5500",畅通,41.2,道路畅通，车速正常,2026-04-14 00:00:00,成功
南山,"106.5725,29.5601",畅通,33.7,道路畅通，车速正常,2026-04-18 00:00:00,成功
南山,"106.5600,29.5500",畅通,41.0,道路畅通，车速正常,2026-04-25 00:00:00,成功
朝天门,"106.5550,29.5820",畅通,43.9,道路畅通，车速正常,2026-04-13 00:00:00,成功
南坪,"106.5740,29.5630",缓行,24.2,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
洪崖洞,"106.5760,29.5660",缓行,24.5,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,27.6,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
李子坝,"106.5725,29.5601",畅通,36.8,道路畅通，车速正常,2026-04-16 00:00:00,成功
南坪,"106.5550,29.5820",畅通,34.8,道路畅通，车速正常,2026-04-04 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,48.9,道路畅通，车速正常,2026-04-29 00:00:00,成功
观音桥,"106.5760,29.5660",畅通,40.8,道路畅通，车速正常,2026-04-19 00:00:00,成功
洪崖洞,"106.5740,29.5630",畅通,32.9,道路畅通，车速正常,2026-04-10 00:00:00,成功
李子坝,"106.5800,29.5400",缓行,29.9,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
杨家坪,"106.5740,29.5630",缓行,15.1,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
朝天门,"106.5600,29.5500",缓行,21.9,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
观音桥,"106.5740,29.5630",畅通,40.9,道路畅通，车速正常,2026-04-12 00:00:00,成功
观音桥,"106.5760,29.5660",畅通,32.7,道路畅通，车速正常,2026-04-15 00:00:00,成功
南山,"106.5550,29.5820",畅通,35.7,道路畅通，车速正常,2026-04-17 00:00:00,成功
洪崖洞,"106.5760,29.5660",缓行,22.4,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
杨家坪,"106.5740,29.5630",畅通,40.4,道路畅通，车速正常,2026-04-06 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",畅通,36.6,道路畅通，车速正常,2026-04-06 00:00:00,成功
观音桥,"106.5800,29.5400",缓行,24.6,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
南山,"106.5740,29.5630",畅通,30.1,道路畅通，车速正常,2026-04-15 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,31.1,道路畅通，车速正常,2026-04-25 00:00:00,成功
洪崖洞,"106.5800,29.5400",缓行,20.1,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,24.2,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
杨家坪,"106.5550,29.5820",缓行,22.2,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
朝天门,"106.5760,29.5660",畅通,32.8,道路畅通，车速正常,2026-04-30 00:00:00,成功
南坪,"106.5600,29.5500",缓行,24.1,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",畅通,35.1,道路畅通，车速正常,2026-04-21 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,41.3,道路畅通，车速正常,2026-04-14 00:00:00,成功
李子坝,"106.5600,29.5500",畅通,39.0,道路畅通，车速正常,2026-04-18 00:00:00,成功
嘉陵江大桥,"106.5550,29.5820",畅通,41.4,道路畅通，车速正常,2026-04-08 00:00:00,成功
南坪,"106.5740,29.5630",缓行,19.1,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
南山,"106.5740,29.5630",缓行,18.7,车流量较大，行驶缓慢,2026-04-29 00:00:00,成功
朝天门,"106.5725,29.5601",缓行,25.4,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,44.7,道路畅通，车速正常,2026-04-09 00:00:00,成功
李子坝,"106.5600,29.5500",畅通,37.2,道路畅通，车速正常,2026-04-05 00:00:00,成功
李子坝,"106.5800,29.5400",畅通,37.4,道路畅通，车速正常,2026-04-07 00:00:00,成功
长江大桥,"106.5800,29.5400",畅通,31.3,道路畅通，车速正常,2026-04-13 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,41.0,道路畅通，车速正常,2026-04-06 00:00:00,成功
李子坝,"106.5550,29.5820",缓行,26.1,车流量较大，行驶缓慢,2026-04-07 00:00:00,成功
朝天门,"106.5550,29.5820",畅通,39.3,道路畅通，车速正常,2026-04-27 00:00:00,成功
磁器口,"106.5800,29.5400",缓行,27.1,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
磁器口,"106.5760,29.5660",畅通,32.8,道路畅通，车速正常,2026-04-14 00:00:00,成功
洪崖洞,"106.5740,29.5630",拥堵,14.0,严重拥堵，建议绕行,2026-04-01 00:00:00,成功
洪崖洞,"106.5800,29.5400",缓行,25.9,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
南山,"106.5725,29.5601",缓行,26.7,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
观音桥,"106.5760,29.5660",畅通,43.4,道路畅通，车速正常,2026-04-29 00:00:00,成功
长江大桥,"106.5760,29.5660",拥堵,12.7,严重拥堵，建议绕行,2026-04-11 00:00:00,成功
李子坝,"106.5740,29.5630",畅通,32.9,道路畅通，车速正常,2026-04-09 00:00:00,成功
朝天门,"106.5600,29.5500",拥堵,12.3,严重拥堵，建议绕行,2026-04-12 00:00:00,成功
南山,"106.5725,29.5601",畅通,54.2,道路畅通，车速正常,2026-04-03 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",畅通,49.0,道路畅通，车速正常,2026-04-15 00:00:00,成功
嘉陵江大桥,"106.5550,29.5820",缓行,20.6,车流量较大，行驶缓慢,2026-04-27 00:00:00,成功
南坪,"106.5800,29.5400",畅通,34.5,道路畅通，车速正常,2026-04-24 00:00:00,成功
长江大桥,"106.5800,29.5400",畅通,51.4,道路畅通，车速正常,2026-04-10 00:00:00,成功
李子坝,"106.5800,29.5400",畅通,52.6,道路畅通，车速正常,2026-04-08 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,20.3,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
南坪,"106.5800,29.5400",畅通,45.5,道路畅通，车速正常,2026-04-10 00:00:00,成功
南山,"106.5800,29.5400",缓行,22.5,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
观音桥,"106.5740,29.5630",畅通,34.4,道路畅通，车速正常,2026-04-10 00:00:00,成功
鹅岭,"106.5740,29.5630",畅通,44.5,道路畅通，车速正常,2026-04-30 00:00:00,成功
观音桥,"106.5800,29.5400",缓行,26.7,车流量较大，行驶缓慢,2026-04-21 00:00:00,成功
洪崖洞,"106.5600,29.5500",畅通,43.8,道路畅通，车速正常,2026-04-20 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,54.2,道路畅通，车速正常,2026-04-15 00:00:00,成功
洪崖洞,"106.5550,29.5820",畅通,38.0,道路畅通，车速正常,2026-04-28 00:00:00,成功
嘉陵江大桥,"106.5600,29.5500",畅通,32.8,道路畅通，车速正常,2026-04-25 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,31.7,道路畅通，车速正常,2026-04-29 00:00:00,成功
磁器口,"106.5800,29.5400",缓行,16.7,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
磁器口,"106.5800,29.5400",畅通,44.4,道路畅通，车速正常,2026-04-29 00:00:00,成功
解放碑,"106.5600,29.5500",缓行,23.0,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
长江大桥,"106.5760,29.5660",畅通,35.5,道路畅通，车速正常,2026-04-23 00:00:00,成功
南山,"106.5725,29.5601",畅通,37.3,道路畅通，车速正常,2026-04-29 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",缓行,27.8,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
朝天门,"106.5760,29.5660",畅通,41.2,道路畅通，车速正常,2026-04-22 00:00:00,成功
嘉陵江大桥,"106.5800,29.5400",畅通,53.0,道路畅通，车速正常,2026-04-13 00:00:00,成功
李子坝,"106.5600,29.5500",畅通,32.6,道路畅通，车速正常,2026-04-29 00:00:00,成功
李子坝,"106.5725,29.5601",缓行,23.7,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
南坪,"106.5800,29.5400",缓行,24.2,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,52.7,道路畅通，车速正常,2026-04-03 00:00:00,成功
朝天门,"106.5760,29.5660",畅通,35.7,道路畅通，车速正常,2026-04-14 00:00:00,成功
